id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform
6980,Movie,Executive Decision,Stuart Baird,"Kurt Russell, Halle Berry, John Leguizamo, Oliver Platt, Steven Seagal, Joe Morton, David Suchet, BD Wong, Len Cariou, Whip Hubley",United States,"November 1, 2019",1996,R,133 min,Action & Adventure,"When terrorists hijack a 747 and turn it into a nerve gas bomb aimed at Washington, D.C., commandos use an experimental plane to try to stop them.",Netflix
6981,Movie,Scary Movie 5,Malcolm D. Lee,"Simon Rex, Ashley Tisdale, Charlie Sheen, Lindsay Lohan, Gracie Whitton, Ava Kolker, Erica Ash, Lidia Porto, Katrina Bowden, Terry Crews",United States,"August 12, 2020",2013,PG-13,88 min,"Comedies, Horror Movies","Taking aim at not only the horror genre but also films like ""Black Swan"" and ""Inception,"" ""Scary Movie 5"" widens the franchise's scope of mockery.",Netflix
6982,Movie,S.M.A.R.T Chase,Charles Martin,"Orlando Bloom, Leo Wu, Simon Yam, Hannah Quinlivan",China,"May 1, 2021",2018,TV-MA,94 min,Action & Adventure,A disgraced security agent who specializes in transporting valuable objects gets a shot at redemption when he's hired to safeguard a precious antique.,Netflix
6983,Movie,In This Corner of the World,Sunao Katabuchi,"Non, Yoshimasa Hosoya, Natsuki Inaba, Minori Omi, Daisuke Ono, Megumi Han, Nanase Iwai, Shigeru Ushiyama, Mayumi Shintani",Japan,"March 15, 2018",2016,PG-13,129 min,"Anime Features, Children & Family Movies, International Movies","Suzu marries into a family living outside of Hiroshima and quickly settles into her new life, until World War II challenges her ability to survive.",Netflix
6984,Movie,Milk,Gus Van Sant,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce",United States,"February 16, 2017",2008,R,128 min,"Dramas, Independent Movies, LGBTQ Movies","Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",Netflix
6985,Movie,Radiopetti,Hari Viswanath,"Lakshmanan, TVV Ramanujam, Shobana, Nivas Adithan, Indhumathi, Baby Maya, Master Rohan",India,"January 1, 2017",2015,TV-PG,83 min,"Dramas, International Movies","An elderly, hearing-impaired Indian man stays connected to the world of the past through the beloved valve radio he has owned since childhood.",Netflix
6986,Movie,5 Star Christmas,Marco Risi,"Massimo Ghini, Ricky Memphis, Martina Stella, Ralph Palka, Biagio Izzo, Riccardo Rossi, Paola Minaccioni",Italy,"December 7, 2018",2018,TV-14,96 min,"Comedies, International Movies","When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",Netflix
6987,TV Show,Pablo,,"Jake Williamson, Rachael Dickson, Sumita Majumdar, Michael White, Tony Finnegan, Scott Mulligan, Rosie King",United Kingdom,"March 30, 2019",2017,TV-Y,1 Season,"British TV Shows, Kids' TV","Equipped with crayons and his creativity, a boy with autism draws an imaginary world where his animal pals help him tackle real-life situations.",Netflix
6988,TV Show,Madam Secretary,,"Téa Leoni, Tim Daly, Bebe Neuwirth, Zeljko Ivanek, Erich Bergen, Patina Miller, Geoffrey Arend, Kathrine Herzer, Evan Roe, Wallis Currie-Wood",United States,"May 15, 2020",2019,TV-PG,6 Seasons,TV Dramas,"When a highly capable woman becomes secretary of state, she struggles to find balance between the demands of world politics and those of her family.",Netflix
6989,Movie,The Reliant,Paul Munger,"Kevin Sorbo, Mollee Gray, Eric Roberts, Brian Bosworth, Julia Denton, Blake Burt, Marisa Lynae Hampton, Josh Murray, Kiera Strauss, Tyler Sanders",United States,"April 28, 2020",2019,PG-13,116 min,"Dramas, Faith & Spirituality","When a town suffers an economic collapse, social unrest forces a family to seek refuge in the wilderness as bitter outlaws threaten their survival.",Netflix
6990,Movie,The Beast Stalker,Dante Lam,"Nicholas Tse, Nick Cheung, Zhang Jing-chu, Miao Pu, Liu Kai-chi, Philip Keung, Kwok Jing-hung, Sherman Chung, Zhang He, Wong Suet-yin, Wong Sum-yin",Hong Kong,"July 21, 2019",2008,TV-14,110 min,"Action & Adventure, Cult Movies, International Movies","Feeling guilty after a high-speed chase leaves a girl dead, a determined sergeant pursues the crime boss who triggered the fatal car accident.",Netflix
6991,Movie,Mad Money,"Callie Khouri, Jesse V. Johnson","Diane Keaton, Queen Latifah, Katie Holmes, Ted Danson, Roger Cross, Adam Rothenberg, Stephen Root, Christopher McDonald, Meagen Fay, J.C. MacKenzie, Finesse Mitchell, Eric Keenleyside",United States,"November 1, 2019",2008,PG-13,99 min,Comedies,A woman joins the janitorial staff of the Federal Reserve Bank and conspires with two co-workers to pilfer old money that's scheduled to be destroyed.,Netflix
6992,Movie,American Circumcision,Brendon Marotta,,United States,"December 16, 2018",2017,TV-14,101 min,Documentaries,"With interviews from experts on both sides of the debate, this film questions the routine practice of non-religious infant circumcision in the U.S.",Netflix
6993,Movie,The Student Cop,Wael Ihsan,"Karim Abdel Aziz, Hassan Hosny, Ghada Adel, Maha Ahmed, Ramez Galal, Mohamed Ragab, Mohamed El Dafrawy",Egypt,"June 2, 2020",2004,TV-14,111 min,"Action & Adventure, Comedies, International Movies","Sent undercover to investigate suspicious activity among a group of college students, a police officer gets more invested in his role than expected.",Netflix
6994,TV Show,My Country: The New Age,,"Yang Se-Jong, Woo Do‑hwan, Seolhyun, Jang Hyuk, Kim Young-chul, In Gyo-jin, Yu Oh-seong, Ahn Nae-sang",South Korea,"October 5, 2019",2019,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure","At the end of the Goryeo period, there were those who led the charge to proclaim a new age – and the ordinary individuals who risked everything.",Netflix
6995,Movie,Jefe,Sergio Barrejón,"Luis Callejo, Juana Acosta, Carlo D'Ursi, Josean Bengoetxea, Bárbara Santa-Cruz, Maica Barroso, Adam Jezierski, Sergio Quintana","Spain, Portugal","October 26, 2018",2018,TV-MA,90 min,"Comedies, Dramas, International Movies","A rude, self-centered businessman seems to be on the brink of losing everything until a night janitor at his office helps him find redemption.",Netflix
6996,Movie,Sur Sapata,Mangesh Kanthale,"Upendra Limaye, Govind Namdeo, Sanjay Jadhav, Anand Ingale, Bharat Ganeshpure, Praveen Tarde, Chinmay Patwardhan, Jivan Karlakar",India,"May 1, 2019",2019,TV-14,140 min,"Comedies, Dramas, International Movies",A group of small-town students goes for glory by competing in a statewide kabaddi tournament 25 years after their school's championship victory.,Netflix
6997,TV Show,Glitch Techs,,"Ricardo Hurtado, Monica Ray, Luke Youngblood, Scott  Kreamer, Dan Milano, Gunnar Sizemore, Zehra Fazal, Sandeep Parikh",United States,"August 17, 2020",2020,TV-Y7,2 Seasons,Kids' TV,Two teens work at a game store as a front for their actual job: Hunting video game monsters who've broken out into the real world.,Netflix
6998,TV Show,Moesha,,"Brandy Norwood, William Allen Young, Sheryl Lee Ralph, Countess Vaughn, Lamont Bentley, Shar Jackson, Marcus T. Paulk, Yvette Wilson",United States,"August 1, 2020",2000,TV-PG,6 Seasons,"TV Comedies, Teen TV Shows","Navigating the twists and firsts of high school, Moesha juggles friendships, romance and the occasional drama while trying to keep her family together.",Netflix
6999,Movie,İstanbul Kırmızısı,Ferzan Özpetek,"Halit Ergenç, Nejat İşler, Mehmet Günsür, Çiğdem Selışık Onat, Tuba Büyüküstün, Serra Yılmaz, Zerrin Tekindor, Ayten Gökçer, İpek Bilgin, Ergin Bal","Italy, Turkey","April 28, 2020",2017,TV-MA,110 min,"Dramas, Independent Movies, International Movies","Upon his return to Istanbul, an expat writer-editor finds himself stranded inside a web of tangled relationships after his filmmaker friend vanishes.",Netflix
7000,TV Show,Octonauts: Above & Beyond,,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,"September 7, 2021",2021,TV-Y,1 Season,"British TV Shows, Kids' TV","The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",Netflix
7001,Movie,Shawn Mendes: Live in Concert,Paul Dugdale,Shawn Mendes,"United Kingdom, United States","November 25, 2020",2020,TV-PG,87 min,Music & Musicals,"In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans.",Netflix
7002,Movie,Lechmi,B.N. Shajeer Sha,"Parvathy Ratheesh, Biju Sopanam, Sethulekshmi Amma, Molly Angamaly",India,"August 1, 2018",2017,TV-MA,147 min,"Comedies, Horror Movies, International Movies","The spirit of a murdered woman contacts four bachelors, enlisting their help to find her killer.",Netflix
7003,Movie,Singham,Rohit Shetty,"Ajay Devgn, Kajal Aggarwal, Prakash Raj, Sonali Kulkarni, Sachin Khedekar, Sudhanshu Pandey, Anant Jog",India,"November 19, 2020",2011,TV-14,142 min,"Action & Adventure, Dramas, International Movies",A police inspector kills himself after a powerful gangster frames him for corruption – but soon the thug faces the full force of cop Bajirao Singham.,Netflix
7004,TV Show,Live,,"Jung Yu-mi, Lee Kwang-soo, Bae Seong-woo, Bae Jong-ok, Sung Dong-il",South Korea,"February 5, 2019",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",The police officers at South Korea's busiest patrol division toil day and night as keepers of law and peace – but the reality is far from orderly.,Netflix
7005,Movie,The Zookeeper's Wife,Niki Caro,"Jessica Chastain, Johan Heldenbergh, Daniel Brühl, Timothy Radford, Efrat Dor, Iddo Goldberg, Shira Haas, Michael McElhatton, Val Maloku, Goran Kostic","Czech Republic, United Kingdom, United States","April 16, 2021",2017,PG-13,127 min,Dramas,"When the Nazis invade Poland, Warsaw Zoo caretakers work with the underground resistance to save Jews from the horrors of the Third Reich.",Netflix
7006,Movie,Residente,René Pérez Joglar,René Pérez Joglar,United States,"January 1, 2018",2017,TV-MA,97 min,"Documentaries, Music & Musicals",The results of a DNA test spur Puerto Rican rap icon Residente to set out on a global voyage in search of his roots and fresh musical inspiration.,Netflix
7007,Movie,The Lost Café,Kenneth Gyang,"Tunde Aladese, Omatta Udalor, Terje Lien, Ann Njemanze, Anders Lidin Hansen, Jenny Bonden, Belinda Effah, Anita Daniels, Silje Drensgrud, Torbjørn Jensen",,"July 31, 2021",2018,TV-14,76 min,"Dramas, International Movies",An aspiring filmmaker grapples with her decision to study abroad in Norway when she meets an insightful but peculiar owner of a curious coffee shop.,Netflix
7008,Movie,Unrest,Jennifer Brea,"Jennifer Brea, Omar Wasow, Jessica Taylor-Bearman","United Kingdom, United States","May 7, 2021",2017,TV-MA,97 min,Documentaries,"In this heart-wrenching documentary, a 28-year-old Ph.D. student turns the camera on herself to capture her struggles with chronic fatigue syndrome.",Netflix
7009,TV Show,Dorohedoro,,"Wataru Takagi, Reina Kondo, Kenyu Horiuchi, Yoshimasa Hosoya, Yu Kobayashi, Kengo Takanashi, Miyu Tomita, Toru Nara, Mitsuhiro Ichiki, Hisao Egawa, Soungdok, Mayu Udono, Anri Katsu, Shinichiro Miki, Hozumi Goda, Tetsu Inada, Takuma Terashima, Ryohei Kimura, Yuki Kaji",Japan,"May 28, 2020",2020,TV-MA,1 Season,"Anime Series, International TV Shows","Amnesiac Caiman seeks to undo his lizard head curse by killing the sorcerer responsible, with his friend Nikaido's help. In the Hole, that's a threat.",Netflix
7010,Movie,Spitfire: The Plane that Saved the World,"David Fairhead, Anthony Palmer",Charles Dance,United Kingdom,"November 1, 2019",2018,TV-14,95 min,Documentaries,"In this epic documentary, last-surviving veterans trace the history of a legendary fighter aircraft that dominated the air during the Battle of Britain.",Netflix
7011,Movie,An Unfinished Life,Lasse Hallström,"Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson","Germany, United States","September 1, 2021",2005,PG-13,108 min,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",Netflix
7012,TV Show,Bromance,,"Baron Chen, Megan Lai, Bii, Katie Chen, Sean Lee",Taiwan,"December 1, 2016",2015,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Ya-nuo's been raised as a boy. Now at age 25, she's caught the eye of a triad leader's sister. But what happens when she reveals her true gender?",Netflix
7013,Movie,Alive and Kicking,Susan Glatzer,,"Sweden, United States","August 10, 2017",2016,TV-14,89 min,Documentaries,Take an inside look at swing dancing's continued prosperity and the lively and joyous personalities that make the art form so unique.,Netflix
7014,Movie,Brother Jekwu,Charles Uwagbai,"Mike Ezuruonye, Juliet Ochienge, Angela Okorie, Huddah Monroe, Catherine Kamau, Naomi Mburu, Derrick Aduwo, Chris Kamau, Abubakar Salum, Celebrity Landlord",Nigeria,"August 11, 2021",2016,TV-14,101 min,"Comedies, International Movies","Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord.",Netflix
7015,TV Show,Black Butler,,"Daisuke Ono, Maaya Sakamoto, Hiroki Touchi, Yuki Kaji, Emiri Kato, Koji Yusa, Shunji Fujimura, Yukari Tamura, Romi Park, Jun Fukuyama",Japan,"September 30, 2020",2010,TV-MA,3 Seasons,"Anime Series, International TV Shows","In Victorian London, 12-year-old business magnate Ciel Phantomhive thwarts dangers to the queen as he's watched over by his demon butler, Sebastian.",Netflix
7016,Movie,Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,"Helen Mirren, Geoffrey Rush, Jim Sturgess, Hugo Weaving, Emily Barclay, Abbie Cornish, Ryan Kwanten, Anthony LaPaglia, Miriam Margolyes, Sam Neill","United States, Australia","January 1, 2020",2010,PG,97 min,Children & Family Movies,"Soren, a barn owl kidnapped from his peaceful forest home, is brought to an orphanage where he must train to become a soldier.",Netflix
7017,Movie,A Futile and Stupid Gesture,David Wain,"Will Forte, Domhnall Gleeson, Martin Mull, Joel McHale, Matt Lucas, Thomas Lennon, Seth Green, Jackie Tohn, Natasha Lyonne, Emmy Rossum, Elvy Yost, Matt Walsh, John Gemberling, Rick Glassman, Camille Guaty",United States,"January 26, 2018",2018,TV-MA,102 min,Comedies,"In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.",Netflix
7018,TV Show,The Day I Met El Chapo,,Kate del Castillo,United States,"October 20, 2017",2017,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Mexican superstar actress Kate del Castillo reveals the untold story of her encounter with El Chapo Guzmán, the world’s most-wanted drug lord.",Netflix
7019,Movie,Untold: Caitlyn Jenner,Crystal Moselle,,,"August 24, 2021",2021,TV-PG,70 min,"Documentaries, LGBTQ Movies, Sports Movies",Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.,Netflix
7020,Movie,Fisherman's Friends,Chris Foggin,"Daniel Mays, James Purefoy, David Hayman, Dave Johns, Sam Swainsbury, Tuppence Middleton, Noel Clarke, Maggie Steed, Vahid Gold, Christian Brassington",United Kingdom,"October 22, 2020",2019,PG-13,112 min,"Comedies, Dramas, Music & Musicals","Sea shanties have long united 10 Cornish fishermen, but when their chants sail to the music charts, their friendship is kept at bay.",Netflix
7021,Movie,XXX: State of the Union,Lee Tamahori,"Ice Cube, Samuel L. Jackson, Willem Dafoe, Scott Speedman, Peter Strauss, Xzibit, Michael Roof, Sunny Mabrey, Nona Gaye, John Gleeson Connolly",United States,"January 1, 2019",2005,PG-13,101 min,Action & Adventure,"In this action-packed follow-up to XXX, U.S. intelligence officer Augustus Gibbons must thwart a massive conspiracy to overthrow the government.",Netflix
7022,Movie,Inglourious Basterds,Quentin Tarantino,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido, B.J. Novak, Sylvester Groth, Martin Wuttke","Germany, United States","July 22, 2019",2009,R,153 min,Action & Adventure,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",Netflix
7023,Movie,The Cincinnati Kid,Norman Jewison,"Steve McQueen, Edward G. Robinson, Ann-Margret, Karl Malden, Tuesday Weld, Joan Blondell, Rip Torn, Jack Weston, Cab Calloway, Jeff Corey, Theo Marcuse",United States,"November 1, 2019",1965,TV-14,103 min,"Classic Movies, Dramas","In Depression-era New Orleans, cocksure stud poker player Eric Stoner – the titular Cincinnati Kid – challenges longtime champ Lancey ""The Man"" Howard to a showdown at the table, where a war of wills – and nerve – ensues.",Netflix
7024,TV Show,History's Greatest Hoaxes,,,Australia,"July 12, 2019",2016,TV-PG,1 Season,"British TV Shows, Docuseries","Using previously unseen footage, this documentary series offers new insights into some of the biggest scams and forgeries in human history.",Netflix
7025,Movie,Waiting,Anu Menon,"Naseeruddin Shah, Kalki Koechlin, Rajat Kapoor, Rajeev Ravindranathan, Ratnabali Bhattacharjee, Suhasini, Arjun Mathur",India,"May 1, 2018",2015,TV-MA,94 min,"Dramas, International Movies","While visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma.",Netflix
7026,Movie,Recovery Boys,Elaine McMillion Sheldon,,United States,"June 29, 2018",2018,TV-MA,90 min,Documentaries,"In a region ravaged by opioid abuse, four young men in a farming-based rehab forge a bond as they try to reinvent their lives after years of addiction.",Netflix
7027,Movie,Jack Whitehall: At Large,Brian Klein,Jack Whitehall,United Kingdom,"October 24, 2017",2017,TV-MA,68 min,Stand-Up Comedy,"Comedian Jack Whitehall takes the stage to tell stories about drinking, drugs, a Google Maps van and his ongoing rivalry with Robert Pattinson.",Netflix
7028,Movie,Sanai Choughade,Rajeev Patil,"Shreyas Talpade, Subodh Bhave, Sai Tamhankar, Santosh Juvekar, Tushar Dalvi, Bharti Aacharekar",India,"January 1, 2018",2008,TV-14,122 min,"Comedies, Dramas, International Movies","In an effort to honor the family matriarch's dying wish, Urmila and her husband, Shrikant, embark on a quest to find a husband for charismatic yet choosey Sai. But some things are easier said than done.",Netflix
7029,Movie,Shadow,Zhang Yimou,"Deng Chao, Sun Li, Ryan Cheng, Wang Qianyuan, Hu Jun, Wang Jingchun, Guan Xiaotong, Leo Wu","China, Hong Kong","November 6, 2019",2018,TV-14,116 min,"Action & Adventure, Dramas, International Movies","As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court.",Netflix
7030,Movie,La diosa del asfalto,Julián Hernández,"Ximena Romo, Mabel Cadena, Alejandra Herrera, Nelly González, Samantha Orozco, Axel Arenas, Esteban Caicedo, Paulina Goto, Raquel Robles, Baby Bátiz, Pascacio López, Juán Carlos Torres, Javier Oliván, Claudia Lobo, Giovanna Zacarías",Mexico,"August 11, 2021",2020,TV-MA,127 min,"Dramas, Independent Movies, International Movies","A woman from a tough neighborhood outside Mexico City comes home a rock star, inadvertently provoking a confrontation with the ghosts of her past.",Netflix
7031,TV Show,It's Bruno!,,"Solvan ""Slick"" Naim, Rob Morgan, Shakira Barrera, Jade Eshete, Adriane Lenox, Donnell Rawlings, Eden Marryshow, Sam Eliad, Devale Ellis, J. Ray Acosta",United States,"May 17, 2019",2019,TV-MA,1 Season,TV Comedies,"An old-school Brooklyn native devotes his days to caring for his adorable dog, Bruno – and making sure the neighbors show his pooch the proper respect.",Netflix
7032,Movie,The Pass,Ben A. Williams,"Russell Tovey, Arinzé Kene, Lisa McGrillis, Nico Mirallegro, Rory J. Saper",United Kingdom,"January 1, 2019",2016,NR,87 min,"Dramas, Independent Movies, LGBTQ Movies",The lives and careers of two professional soccer players are profoundly impacted by a single moment of intimacy that took place between them.,Netflix
7033,Movie,Burning Sands,Gerard McMurray,"Trevor Jackson, Alfre Woodard, Trevante Rhodes, Steve Harris, DeRon Horton, Rotimi, Serayah, Tosin Cole, Malik Bazille, Octavius J. Johnson, Davyon St. Usaire, Mitchell Edwards, Nafessa Williams, Christian Robinson, Imani Hakim, Raquel Bianca John",United States,"March 10, 2017",2017,TV-MA,102 min,"Dramas, Independent Movies",Promising student Zurich opens his eyes to some hard truths when his fraternity's violent hazing escalates into a disastrous hell night.,Netflix
7034,TV Show,Huntik: Secrets and Seekers,,"Yuri Lowenthal, Drew Aaron, Karen Strassman, Marc Thompson, Rebecca Soler, Mike Pollock","United States, Italy"," January 1, 2018",2011,TV-Y7,2 Seasons,Kids' TV,"A high school student searching for his missing father joins a secret group known as the Seekers, who ally with aliens to protect the world from evil.",Netflix
7035,Movie,Due Date,Todd Phillips,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh",United States,"May 1, 2021",2010,R,95 min,"Action & Adventure, Comedies","Days before his pregnant wife's due date, Peter lands on the ""no-fly"" list, forcing him to drive across the country with an irritating slacker.",Netflix
7036,Movie,Ideachi Kalpana,Sachin,"Bhargavi Chirmuley, Mahesh Kothare, Sachin, Ashok Saraf, Nirmiti Sawant",India,"January 1, 2018",2010,TV-14,124 min,"Comedies, International Movies, Romantic Movies","After an actor is hit by a car driven by the police commissioner's sister, his scheming brother-in-law files a bogus suit against the commissioner.",Netflix
7037,TV Show,Top 10 Secrets and Mysteries,,,"United Kingdom, United States, Czech Republic","March 15, 2019",2018,TV-14,1 Season,"British TV Shows, Docuseries, Science & Nature TV","This series investigates mysteries that persistently elude scientific explanation, such as mythical creatures, UFOs, sacred sites and more.",Netflix
7038,TV Show,Dinosaur King,,"Megumi Matsumoto, Matsuri Mizuguchi, Tomoko Kobashi, Asuka Tanii, Seiko Tamura, Veronica Taylor, Sebastian Arcelus, Kether Donohue, Rachael Lillis, Madeleine Blaustein",Japan,"June 2, 2018",2008,TV-Y7,2 Seasons,"Anime Series, Kids' TV","Aided by tablets found near a downed meteorite, Max, Rex and Zoe race the evil Alpha Gang as they travel the globe in search of living dinosaurs.",Netflix
7039,Movie,Asura: The City of Madness,Sung-soo Kim,"Jung-min Hwang, Do-won Kwak, Man-sik Jung, Woo-sung Jung",South Korea,"February 15, 2018",2016,NR,133 min,"Action & Adventure, Dramas, International Movies","Caught between a corrupt mayor and a prosecutor intent on exposing political depravity, a police detective must decide whose side he's on.",Netflix
7040,Movie,Children of the Sea,Ayumu Watanabe,"Mana Ashida, Hiiro Ishibashi, Seishu Uragami, Win Morisaki, Goro Inagaki, Yu Aoi, Toru Watanabe, Min Tanaka, Sumiko Fuji","Japan, United States","September 1, 2020",2019,TV-PG,112 min,"Anime Features, International Movies","Ruka spends her summer at the aquarium, where she’s drawn into an enigmatic aquatic event alongside two mysterious boys raised in the ocean.",Netflix
7041,Movie,The Blind Christ,Christopher Murray,"Michael Silva, Bastián Inostroza, Ana María Henríquez, Mauricio Pinto, Pedro Godoy, Hermelinda Cayo, Héctor Mella, Gonzalo Villalobos, Noelia Rubio","Chile, France","August 1, 2017",2016,TV-MA,86 min,"Dramas, Independent Movies, International Movies",A man claiming he had a divine revelation as a child treks across the Chilean desert to perform a miracle on a friend badly injured in a remote town.,Netflix
7042,Movie,The Seventh Day,Justin P. Lange,"Guy Pearce, Vadhir Derbez, Stephen Lang, Brady Jenness, Chris Galust, Robin Bartlett, Heath Freeman, Keith David",United States,"June 24, 2021",2021,R,87 min,Horror Movies,An inexperienced priest teams up with a hardened exorcist to stop the demonic possession of a young boy. But darkness lies where they least expect it.,Netflix
7043,Movie,Samarppanam,K. Gopinathan,"Virginia Rodriguez, Anil Nedumangad, Santhosh Keezhattoor, Indrans, P. Balachandran, Renji Panicker, Gopalan",India,"March 1, 2018",2017,TV-PG,116 min,"Dramas, International Movies","When a young girl is killed in a suspicious train accident, three very different lives become intertwined in their quest for answers.",Netflix
7044,Movie,"Gabriel ""Fluffy"" Iglesias: One Show Fits All",Manny Rodriguez,Gabriel Iglesias,,"January 29, 2019",2019,TV-14,91 min,Stand-Up Comedy,"Gabriel ""Fluffy"" Iglesias discusses his teenage son and encounters with Snoop Dogg, Chris Rock and Vicente Fernández in this stand-up special for 2019.",Netflix
7045,Movie,Oversize Cops,"Chanon Yingyong, Phuwanit Pholdee","Sarun Cinsuvapala, Pramote Pathan, Suphachai Subprasert, Somyos Matures, Supavitch Nepremwattana, Nachjaree Horvejkul, Jatupone Chompoonich, Chertsak Pratumseesakhon",Thailand,"March 23, 2019",2017,TV-MA,100 min,"Action & Adventure, Comedies, International Movies","While investigating a bank robbery, a squad of overweight police officers undergoes rigorous training to shed pounds.",Netflix
7046,Movie,The Great Gambler,Shakti Samanta,"Amitabh Bachchan, Zeenat Aman, Neetu Singh, Prem Chopra, Utpal Dutt, Madan Puri, Om Shivpuri, Iftekhar, Sujit Kumar, Roopesh Kumar",India,"December 31, 2019",1979,TV-14,161 min,"Action & Adventure, Classic Movies, Cult Movies","After unwittingly using his skills to obtain military secrets, a gambler is pursued by a police officer who happens to be his doppelgänger.",Netflix
7047,TV Show,SCAMS,,"Yosuke Sugino, Tomoya Maeno, Maika Yamamoto, Junki Tozuka, Shodai Fukuyama, Ron Mizuma, Takuya Wakabayashi, Asuka Hanamura, Shuntaro Yanagi, Takashi Yamanaka, Masato Wada, Naomi Nishida, Tetta Sugimoto, Ryohei Otani",Japan,"November 6, 2019",2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Hit hard by the Lehman shock, a well-meaning young man joins a phone scam operation and gets increasingly embroiled in the underworld.",Netflix
7048,TV Show,Ragnarok,,"David Stakston, Jonas Strand Gravli, Herman Tømmeraas, Theresa Frostad Eggesbø, Emma Bones, Henriette Steenstrup, Gísli Örn Garðarsson, Synnøve Macody Lund, Ylva Thedin Bjørkaas, Odd-Magnus Williamson","Norway, Denmark","May 27, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","In a Norwegian town poisoned by pollution and rattled by melting glaciers, the End Times feel all too real. It’ll take a legend to battle an old evil.",Netflix
7049,TV Show,Ultimate Beastmaster,,"Tiki Barber, Chris Distefano, Francesco Facchinetti, Bianca Balti, Vidyut Jammwal, Sarah-Jane Dias, BIn Gu, Qinyi Du, Paula Vázquez, Saúl Craviotto, Gilles Marini, Sandy Heribert, Terry Crews, Charissa Thompson, Yuji Kondo, Sayaka Akimoto, Luke Mockridge, Hans Sarpei, Kyung-seok Seo, Kyeong-rim Park, Luis Ernesto Franco, Inés Sainz, Rafinha Bastos, Anderson Silva, Sylvester Stallone","United States, Brazil, South Korea, Mexico, Japan, Germany","August 31, 2018",2018,TV-PG,3 Seasons,Reality TV,"In this intense obstacle course series, elite athletes from the U.S. and other countries compete for cash prizes, individual glory and national pride.",Netflix
7050,Movie,Ari Eldjárn: Pardon My Icelandic,August Jakobsson,Ari Eldjárn,Iceland,"December 2, 2020",2020,TV-MA,54 min,Stand-Up Comedy,"In this English-language special, Icelandic comedian Ari Eldjárn pokes fun at Nordic rivalries, Hollywood's take on Thor, the whims of toddlers and more.",Netflix
7051,Movie,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",,"September 10, 2021",2021,TV-MA,87 min,"International Movies, Thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,Netflix
7052,TV Show,Gabby's Dollhouse,,"Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld, Maggi Lowe, Donovan Patton, Eduardo Franco, Tara Strong, Secunda Wood, Carla Tassara, Sainty Nelsen",United States,"August 10, 2021",2021,TV-Y,2 Seasons,Kids' TV,"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures.",Netflix
